PREC = 500, tol = 6.941400e-310
order = 4, lambda = 3.5440903595519228536159659866048045405830998454445736754578125303058429428588630122562585664248917999626089927758997454570453765072975190522314681763734e+00 
order = 8, lambda = 3.5644072660954325977735575865289824506577347383790085577414763351823320042944226415258317121083422168704574254387089116083644795655574830739248417759159e+00 
order = 16, lambda = 3.568759419543826431298210280025315370356993839580782079406831955080040976620512937679045966681269931557671544765377172993001002458136057225855323152903e+00 
order = 32, lambda = 3.5696916098013967142882687062954666071865704082915178154173263034781558353178646363263201657042859255360756350410614345583905697065144269032406597439312e+00 
order = 64, lambda = 3.5698912593781204873202712005854493897958251233744178040332747345535797761020355575744377852084263787897250944690425188321598600930088740294127242574414e+00 
order = 128, lambda = 3.5699340183739764011848556018871913712192830120006229076803415963418759683286202392707024694719622820829933753841530640038854642706116909071953271540098e+00 
order = 256, lambda = 3.569943176048401636354442976162317749540806665640620306118378518597772099507309714300589713799277433146336235364248531129075037135738952655207691085325e+00 
order = 512, lambda = 3.5699451373421697943147211227495309186913241878502638893011857010516107072344050372023328177494861998883813544945743204545178932739440497909799831937892e+00 
order = 1024, lambda = 3.569945557391249376117169941756208380114463957429746997015092548412041644751409375512309744179610925216704768508213983103102387632797446517363361146761e+00 
order = 2048, lambda = 3.5699456473528997913435066537603367221593798899038989898094257564401975348978986814089166258052251202129561774850844268398528240116415466612005102692604e+00 
order = 4096, lambda = 3.5699456666199304521939437011511336434689984578374828744297717286777720681127455102413088387648023157331438522371014674215266851868265072227767885236363e+00 
order = 8192, lambda = 3.569945670746338408144967161967614572885382203591420679254082537096973309929505027914156532007278393022407182345033014213692593042276185206479436505248e+00 
order = 16384, lambda = 3.5699456716300886296434152915461480562489363973177032398525013661549660324210407204117628513547971684619874757316518505369788935075315784909337181286813e+00 
order = 32768, lambda = 3.5699456718193608640635302435488345850536714403071658465353887745986170096949365119457652359849752989071341121720170214148687433488878526683935790189908e+00 
order = 65536, lambda = 3.5699456718598971806046228347280448095599385845604364100551526078399582589255830681941924789946101969139350384192818571687669974125686386484987100351247e+00 
order = 131072, lambda = 3.5699456718685788182666364326919574061497171543911562165141986889484715577439152352607083800464993387289958732085191453546745834381237514593298333154495e+00 
